"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript JSX", "JSON", "Ruby", "JavaScript", "Markdown", "Properties", "Groovy", "Batch", "Swift", "Objective-C", "JSON with Comments", "Environment Variables", "C++", "Makefile", "comment", "blank", "total"
"/Users/birajtech/Desktop/HelloDoc/ios/HelloDoc/LaunchScreen.storyboard", "XML", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"/Users/birajtech/Desktop/HelloDoc/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 53
"/Users/birajtech/Desktop/HelloDoc/jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/birajtech/Desktop/HelloDoc/metro.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37
"/Users/birajtech/Desktop/HelloDoc/package.json", "JSON", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/birajtech/Desktop/HelloDoc/src/frontend/apollo/client.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 212
"/Users/birajtech/Desktop/HelloDoc/src/frontend/apollo/queries.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/bell.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/bolt.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/birajtech/Desktop/HelloDoc/src/frontend/assets/svg/bullseye-arrow.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
